country,country_code,geo_id_final,region,subnational_cases_7,subnational_cases_14,subnational_population,subnational_rate_14,national_cases_7,national_population,national_testing_rate,national_positivity_rate,subnational_testing_data,positivity_rate_combined,testing_rate_combined,colour,week
Austria,AT,AT11,Burgenland,544,926,294436,314.499585648494,23268,8901064,54420.752395444,0.480344242578384,TRUE,0.475990480190396,38815.9056637096,Red,2021-52
Austria,AT,AT12,Niederösterreich,3566,5978,1684287,354.927634067116,23268,8901064,54420.752395444,0.480344242578384,TRUE,0.160445756646171,131958.389514376,Red,2021-52
Austria,AT,AT13,Wien,6519,10040,1911191,525.32687732414,23268,8901064,54420.752395444,0.480344242578384,TRUE,0.58190030304518,58617.6368557617,Dark red,2021-52
Austria,AT,AT21,Kärnten,993,1913,561293,340.820213328867,23268,8901064,54420.752395444,0.480344242578384,TRUE,0.66992747512228,26407.7763307221,Red,2021-52
Austria,AT,AT22,Steiermark,1945,3630,1246395,291.239935975353,23268,8901064,54420.752395444,0.480344242578384,TRUE,0.499436368725269,31245.2312469161,Red,2021-52
Austria,AT,AT31,Oberösterreich,2778,4603,1490279,308.868339418324,23268,8901064,54420.752395444,0.480344242578384,TRUE,0.793979701786026,23477.6843799047,Red,2021-52
Austria,AT,AT32,Salzburg,2263,3209,558410,574.667359108899,23268,8901064,54420.752395444,0.480344242578384,TRUE,1.08837844597064,37235.0065364159,Dark red,2021-52
Austria,AT,AT33,Tirol,3581,5574,757634,735.711438504608,23268,8901064,54420.752395444,0.480344242578384,TRUE,1.79785321966844,26290.0028245829,Dark red,2021-52
Austria,AT,AT34,Vorarlberg,1125,2163,397139,544.645577493019,23268,8901064,54420.752395444,0.480344242578384,TRUE,1.21975019516003,23224.1104499936,Dark red,2021-52
Belgium,BE,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,13013,19879,1223364,1624.94564168964,77857,11522440,4073.34731185409,16.5882957031974,TRUE,19.3781364942743,5489.20844491092,Dark red,2021-52
Belgium,BE,BE2,Vlaams Gewest,37935,61295,6639005,923.255819207848,77857,11522440,4073.34731185409,16.5882957031974,TRUE,15.3311752082348,3727.01933497565,Dark red,2021-52
Belgium,BE,BE3,Région wallonne,23741,37796,3660071,1032.65756320028,77857,11522440,4073.34731185409,16.5882957031974,TRUE,17.6974856316484,3665.20212312821,Dark red,2021-52
