country,country_code,geo_id_final,region,subnational_cases_7,subnational_cases_14,subnational_population,subnational_rate_14,national_cases_7,national_population,national_testing_rate,national_positivity_rate,subnational_testing_data,positivity_rate_combined,testing_rate_combined,colour,week
Austria,AT,AT11,Burgenland,1481,2767,293433,942.9750573,51714,8858775,2427.468809,24.04810178,FALSE,24.04810178,2427.468809,Red,2020-46
Austria,AT,AT12,Niederosterreich,6469,13225,1677542,788.3558206,51714,8858775,2427.468809,24.04810178,FALSE,24.04810178,2427.468809,Red,2020-46
Austria,AT,AT13,Wien,9395,15471,1897491,815.3398356,51714,8858775,2427.468809,24.04810178,FALSE,24.04810178,2427.468809,Red,2020-46
Austria,AT,AT21,Karnten,4016,6040,560939,1076.765923,51714,8858775,2427.468809,24.04810178,FALSE,24.04810178,2427.468809,Red,2020-46
Austria,AT,AT22,Steiermark,5476,11472,1243052,922.8897906,51714,8858775,2427.468809,24.04810178,FALSE,24.04810178,2427.468809,Red,2020-46
Austria,AT,AT31,Oberosterreich,10692,21846,1482095,1473.994582,51714,8858775,2427.468809,24.04810178,FALSE,24.04810178,2427.468809,Red,2020-46
Austria,AT,AT32,Salzburg,4066,7385,555221,1330.100987,51714,8858775,2427.468809,24.04810178,FALSE,24.04810178,2427.468809,Red,2020-46
Austria,AT,AT33,Tirol,5330,10851,754705,1437.780325,51714,8858775,2427.468809,24.04810178,FALSE,24.04810178,2427.468809,Red,2020-46
Austria,AT,AT34,Vorarlberg,2972,5973,394297,1514.847945,51714,8858775,2427.468809,24.04810178,FALSE,24.04810178,2427.468809,Red,2020-46
Belgium,BE,BE1,Region De Bruxelles-Capitale/brussels Hoofdstedelijk Gewest,3226,8970,1215290,738.095434,33439,11455519,1718.656309,16.98437127,FALSE,16.98437127,1718.656309,Red,2020-46
Belgium,BE,BE2,Vlaams Gewest,15180,36892,6596233,559.2889154,33439,11455519,1718.656309,16.98437127,FALSE,16.98437127,1718.656309,Red,2020-46
Belgium,BE,BE3,Region Wallonne,15728,43159,3643996,1184.386591,33439,11455519,1718.656309,16.98437127,FALSE,16.98437127,1718.656309,Red,2020-46
Bulgaria,BG,BG31,Severozapaden,1853,3650,742304,491.7122904,22950,7000039,866.0380321,37.85691899,FALSE,37.85691899,866.0380321,Red,2020-46
Bulgaria,BG,BG32,Severen Tsentralen,2690,4848,784168,618.234868,22950,7000039,866.0380321,37.85691899,FALSE,37.85691899,866.0380321,Red,2020-46
Bulgaria,BG,BG33,Severoiztochen,2377,4572,929035,492.1235476,22950,7000039,866.0380321,37.85691899,FALSE,37.85691899,866.0380321,Red,2020-46
Bulgaria,BG,BG34,Yugoiztochen,2760,5130,1032079,497.0549735,22950,7000039,866.0380321,37.85691899,FALSE,37.85691899,866.0380321,Red,2020-46
Bulgaria,BG,BG41,Yugozapaden,9636,20631,2102205,981.3981034,22950,7000039,866.0380321,37.85691899,FALSE,37.85691899,866.0380321,Red,2020-46
Bulgaria,BG,BG42,Yuzhen Tsentralen,3424,6389,1410248,453.0408836,22950,7000039,866.0380321,37.85691899,FALSE,37.85691899,866.0380321,Red,2020-46
Croatia,HR,HR03,Jadranska Hrvatska,4524,8801,1374071,640.5054761,17140,4076246,1414.978389,29.71670308,TRUE,24.46198767,1345.927539,Red,2020-46
Croatia,HR,HR04,Kontinentalna Hrvatska,10752,22631,2702175,837.5105239,17140,4076246,1414.978389,29.71670308,TRUE,27.43977134,1450.09113,Red,2020-46
Cyprus,CY,CY0,Kypros,1187,2525,875899,288.2752463,1180,875899,2885.835011,4.668275507,FALSE,4.668275507,2885.835011,Red,2020-46
Czechia,CZ,CZ01,Praha,3095,7075,1308632,540.6409136,47009,10649800,1764.183365,25.02049159,FALSE,25.02049159,1764.183365,Red,2020-46
Czechia,CZ,CZ02,Stredni Cechy,4937,12852,1369332,938.5598233,47009,10649800,1764.183365,25.02049159,FALSE,25.02049159,1764.183365,Red,2020-46
