Family,13
Freedom,3
Security,2
Loyalty,1
Intelligence,9
Connection,19
Creativity,9
Humanity,5
Success,8
Respect,7
Invention,5
Diversity,5
Generosity,5
Integrity,3
Finesse,1
Love,10
Openness,9
Religion,1
Advancement,2
Joy/Play,8
Forgiveness,0
Power,3
Affection,3
Cooperation,9
Work Smarter,9
Excitement,12
Change,5
Goodness,1
Involvement,8
Faith,1
Wisdom,4
Beauty,3
Caring,9
Personal development,8
Honest,17
Adventure,4
Kindness,9
Teamwork,11
Career,1
Communication,17
Learning,12
Excellence,8
Innovation,9
Quality,6
Commonality,6
Contributing,9
Spiritualism,1
Strength,1
Entertainment,14
Love of Career,1
Friendship,14
Relationship,14
Encouragement,10
Pride in your work,4
Clarity,1
Fun-loving,5
Charisma,2
Humour,16
Leadership,4
Renewal,0
Home,8
Be True,6
Contentment,3
Courage,4
Balance,0
Compassion,4
Fitness,5
Professionalism,4
Knowledge,17
Patience,5
Speed,4
Wealth,1
Prosperity,1
Wellness,1
Finances,2
Gratitude,3
Grace,0
Endurance,3
Facilitation,5
Effectiveness,7
Fun,14
Fame,2
Justice,3
Appreciation,10
Willingness,6
Trusting you gut,1
Self-respect,3
Abundance,0
Reciprocity,5
Enjoyment,9
Entrepreneurial,4
Happiness,12
Harmony,6
Peace,4
Hard work,2
,
